;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40404;202200044866;5;0;0;;1;1;0;1;(1);(1);1;; -1;1;7;1;5
40405;202200044867;7;Rond-point DE LATTRE DE TASSIGNY;0;;1;1;0;1;0;0;2;; -1;1;0;1;50
40406;202200044868;3;161;0;;2;2;0;1;6;213;1;; -1;1;0;1;80
40407;202200044869;3;953;-1;;2;2;0;1;12;285;1;; -1;1;0;1;50
40408;202200044870;3;940;-1;;2;2;0;1;20;650;1;; -1;1;0;1;80
40409;202200044871;4;BERTHELOT MARCELIN (RUE);0;;2;3;0;1;0;0;3;; -1;1;0;1;50
40410;202200044872;3;613;0;D;2;2;0;1;46;198;1;; -1;1;0;1;50
40411;202200044873;3;903;0;D;2;3;0;2;46;740;1;; -1;1;0;1;80
40412;202200044874;3;25;0;D;2;2;0;2;31;180;2;; -1;1;0;1;80
40413;202200044876;3;FOIX AVENUE DE;0;;2;2;0;1;15;410;1;; -1;1;0;1;50
40414;202200044877;3;D60;-1;;2;2;0;2;16;50;2;; -1;1;0;3;80
40415;202200044878;3;44;0;;2;2;0;2;18;300;1;; -1;1;0;1;70
40416;202200044880;3;1006;0;D;3;3;0;1;110;170;1;; -1;1;5;1;50
40417;202200044881;3;127;0;D;2;2;0;1;10;0;3;; -1;1;0;3;80
40418;202200044882;3;11;-1;D;2;2;0;1;18;0;4;;7;2;0;1;90
40419;202200044883;3;106;0;D;2;2;0;1;40;866;1;; -1;2;0;3;70
40420;202200044884;4;REPUBLIQUE (AV.DE LA) [DU N° AU N°];0;;3;2;0;1;(1);(1);1;; -1;2;0;1;50
40421;202200044885;3;52;0;;2;2;0;4;0;490;1;; -1;1;0;1;90
40422;202200044886;3;420;-1;;2;2;0;1;12;320;1;; -1;1;0;1;80
40423;202200044887;4;;-1;;2;2;0;1;(1);(1);1;;6;1;0;8;50
40424;202200044888;3;1084;-1;;2;2;0;1;12;1130;1;; -1;1;0;1;50
40425;202200044889;4;CHAUNY (ROUTE DE);0;;2;2;0;1;(1);(1);1;; -1;1;0;4;50
40426;202200044890;3;437;-1;;2;2;0;1;72;75;1;; -1;1;0;1;50
40427;202200044891;3;6110;-1;;2;2;0;1;21;770;1;; -1;1;0;1;80
40428;202200044892;4;BOULEVARD PERIPHERIQUE;0;;1;4;0;1;12;500;1;; -1;2;1;1;70
40429;202200044894;3;61;-1;;2;2;0;1;23;0;1;; -1;2;0;1;50
40430;202200044896;4;;0;;2;2;0;2;(1);(1);2;;6;1;0;3;70
40431;202200044897;4;RUE DE FONTARABIE;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
40432;202200044898;3;142;0;D;2;2;0;1;24;250;1;; -1;1;0;3;80
40433;202200044899;3;17;-1;A;2;2;0;2;0;500;1;; -1;1;0;3;80
40434;202200044900;3;979;0;;2;2;0;1;18;40;1;; -1;1;0;1;70
40435;202200044901;3;32;-1;;2;1;0;1;10;550;1;;3;1;5;1;80
40436;202200044902;1;9;0;A;3;5;0;1;36;800;1;; -1;1;0;1;130
40437;202200044903;3;642;0;D;3;4;0;1;6;265;1;; -1;2;0;1;110
40438;202200044904;3;730;-1;D;2;2;0;3;75;796;1;; -1;1;0;1;80
40439;202200044905;4;BOULEVARD DE LA VILLETTE;0;;2;3;1;1;(1);(1);1;; -1;1;0;5;30
40440;202200044906;4;;0;;2;2;0;1;(1);(1);1;;4;2;0;1;70
40441;202200044907;3;660;-1;;2;2;0;1;57;660;1;; -1;1;0;3;80
