;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
78606;201300051439;0;7;0;0.0;2.0;4.0;23.0;B01
78607;201300051439;0;30;0;0.0;2.0;1.0;2.0;A01
78608;201300051440;0;33;0;0.0;1.0;1.0;17.0;A01
78609;201300051441;0;37;80;0.0;2.0;3.0;1.0;B01
78610;201300051441;0;30;0;0.0;2.0;5.0;9.0;A01
78611;201300051442;0;30;0;0.0;2.0;1.0;17.0;A01
78612;201300051442;0;7;0;0.0;2.0;1.0;15.0;B01
78613;201300051443;0;32;0;14.0;0.0;7.0;1.0;A01
78614;201300051444;0;30;0;0.0;1.0;1.0;15.0;A01
78615;201300051445;0;10;0;0.0;1.0;1.0;15.0;A01
78616;201300051446;0;7;0;11.0;0.0;1.0;13.0;A01
78617;201300051447;0;33;0;0.0;2.0;1.0;2.0;A01
78618;201300051447;0;7;0;0.0;2.0;4.0;23.0;B01
78619;201300051448;0;30;0;0.0;2.0;8.0;7.0;B01
78620;201300051448;0;7;0;0.0;2.0;7.0;12.0;A01
78621;201300051449;0;7;0;0.0;1.0;2.0;15.0;A01
78622;201300051450;0;1;0;0.0;2.0;8.0;1.0;B01
78623;201300051450;0;7;0;0.0;2.0;1.0;15.0;A01
78624;201300051451;0;7;0;0.0;2.0;3.0;1.0;B01
78625;201300051451;0;33;0;0.0;2.0;2.0;1.0;C01
78626;201300051451;0;7;0;0.0;2.0;2.0;1.0;A01
78627;201300051452;0;7;0;0.0;0.0;3.0;1.0;B01
78628;201300051452;0;32;0;0.0;0.0;1.0;15.0;A01
78629;201300051453;1;7;0;0.0;1.0;3.0;15.0;Z01
78630;201300051454;0;7;0;0.0;0.0;1.0;1.0;A01
78631;201300051454;0;7;0;0.0;0.0;4.0;1.0;B01
78632;201300051455;0;30;0;0.0;0.0;0.0;1.0;A01
78633;201300051456;0;33;0;0.0;2.0;8.0;1.0;B01
78634;201300051456;0;7;0;0.0;2.0;1.0;15.0;A01
78635;201300051457;0;34;0;0.0;0.0;7.0;1.0;B01
78636;201300051457;0;7;0;0.0;2.0;1.0;15.0;A01
78637;201300051458;0;37;3;0.0;0.0;0.0;21.0;A01
78638;201300051459;0;32;0;0.0;1.0;1.0;1.0;A01
