;Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
1721;202000001903;17;10;2020;16:00;1;38;38185;2;1;1;2;A480;45,1621900;5,7017000
1722;202000001904;17;10;2020;08:55;1;35;35055;2;1;8;3;06 JUIN 1944 (RUE DU);48,0938720; -1,6149504
1723;202000001905;17;10;2020;17:10;1;33;33009;2;1;1;2;D650;44,6588400; -1,1517600
1724;202000001906;17;10;2020;23:45;5;29;29019;2;1;1;4;Rue Dupleix;48,3927700; -4,4827800
1725;202000001907;17;10;2020;16:35;1;29;29019;2;2;1;3;Rue Albert Thibaudet;48,3754000; -4,5413000
1726;202000001908;6;4;2020;20:30;5;19;19272;2;1;1;6;Alsace Lorraine (Avenue);45,2614600;1,7569200
1727;202000001909;17;10;2020;07:20;5;13;13214;2;1;1;1;AYGALADES (AVENUE DES);43,3399170;5,3657280
1728;202000001910;17;10;2020;01:40;5;13;13215;2;1;1;3;Petite Ourse (rue de la);43,3417500;5,3729600
1729;202000001911;25;8;2020;06:10;3;62;62680;1;1;2;4;A1;50,3669560;2,9669310
1730;202000001912;16;10;2020;20:30;5;13;13205;2;1;1;3;SAINT PIERRE (RUE);43,2922600;5,3960000
1731;202000001913;23;8;2020;07:20;1;988;98827;1;1;2;3;Tribu de Gohapin; -21,2683300;165,2748800
1732;202000001914;17;10;2020;13:55;1;13;13001;1;1;1;2;RD 7;43,5816400;5,3770000
1733;202000001915;24;8;2020;02:40;5;971;97124;2;1;1;6;2 Route de Bologne;16,0131870; -61,7101410
1734;202000001916;17;10;2020;20:10;5;10;10333;2;9;1;3;AUXERRE (ROUTE);48,2685100;4,0479300
1735;202000001918;17;10;2020;20:41;3;10;10357;1;1;1;6;GENERAL DE GAULLE (RUE DU);48,2940600;4,1446900
1736;202000001919;16;8;2020;16:30;1;77;77329;1;2;1;3;D225 - D58;48,2404770;2,8091260
1737;202000001920;17;10;2020;15:55;1;75;75120;2;1;1;2;PORTE DE BAGNOLET;48,8696430;2,4132670
1738;202000001921;24;8;2020;06:55;1;91;91098;1;1;1;6;D191;48,4561040;2,0598080
1739;202000001922;17;10;2020;15:13;1;75;75108;2;2;1;3;PLACE DE LA CONCORDE;48,8666630;2,3220110
1740;202000001923;24;8;2020;20:40;3;2A;2A163;1;3;1;3;croisement T40 / D50;41,5000018;9,0049085
1741;202000001925;15;8;2020;18:00;1;84;84092;2;1;1;-1;d 225;43,9701850;4,8635810
1742;202000001926;2;2;2020;01:35;5;62;62160;2;1;1;7;NATIONALE (Rue);50,7224700;1,6060300
1743;202000001928;23;8;2020;17:30;1;83;83099;2;1;1;3;Route Nationale 7;43,4528720;6,6914410
1744;202000001929;17;10;2020;16:00;1;75;75116;2;2;1;6;RUE D AUTEUIL;48,8479880;2,2640940
1745;202000001930;3;2;2020;18:49;5;59;59588;2;1;3;6;CHAPEAU ROUGE - ROUTE;51,0275679;2,4282441
1746;202000001932;16;10;2020;10:15;1;75;75116;2;1;1;3;AVENUE DE VERSAILLES;48,8385570;2,2594790
1747;202000001933;3;2;2020;18:17;5;59;59183;2;3;3;1;QUATRE ECLUSES - QUAI;51,0297900;2,3803300
1748;202000001934;25;8;2020;08:00;1;13;13109;2;2;1;3;Avenue Paul Julien;43,5110320;5,4869570
1749;202000001935;24;8;2020;09:20;1;70;70310;2;1;1;3;Route de Belfort;47,6750220;6,5188840
1750;202000001936;16;10;2020;23:00;5;75;75113;2;3;1;3;RUE DE TOLBIAC;48,8263410;2,3614950
1751;202000001937;1;2;2020;06:10;5;59;59183;2;3;8;6;MARDYCK - QUAI;51,0289200;2,3663300
1752;202000001939;24;8;2020;09:35;1;88;88222;1;1;1;1;PK 16+450 RD 420;48,2476830;6,6182430
1753;202000001940;24;8;2020;17:20;1;74;74136;1;1;1;7;D4;45,9786980;6,4677500
1754;202000001941;16;10;2020;21:30;5;75;75108;2;2;1;7;BOULEVARD MALESHERBES;48,8794360;2,3142650
1755;202000001942;2;2;2020;14:30;1;56;56083;1;1;2;6;RN 165;47,7881772; -3,2804417
1756;202000001943;2;2;2020;02:05;5;56;56083;2;1;3;6;JAURES ( AV. JEAN );47,8013856; -3,2812725
1757;202000001944;16;10;2020;22:45;5;75;75107;2;3;1;3;RUE DE SEVRES;48,8460040;2,3138170
1758;202000001945;24;6;2020;15:30;1;73;73179;2;3;1;3;Residence Sainte Anne;45,5975712;5,8753155
1759;202000001946;1;2;2020;18:35;5;56;56083;2;2;2;3;8 MAI 1945 ( AV. DU );47,8024300; -3,2901300
1760;202000001947;24;8;2020;19:00;1;07;07341;2;6;1;7;;44,5718520;4,5107460
1761;202000001948;17;10;2020;14:45;1;75;75104;2;2;1;3;RUE CRILLON;48,8495180;2,3656210
1762;202000001950;31;1;2020;20:33;5;54;54431;1;3;1;1;D952;48,9129500;6,0374940
1763;202000001951;20;8;2020;14:10;1;17;17161;2;1;1;3;17 Rue Jean Henry Laine;46,1864900; -1,3217550
1764;202000001953;17;10;2020;12:10;1;94;94081;2;1;1;3;JEAN JAURES (AV);48,7941706;2,4008874
1765;202000001954;3;2;2020;18:15;5;54;54184;2;1;2;6;avenue Foch;48,7051000;6,2254000
1766;202000001956;25;8;2020;08:10;2;33;33260;1;1;1;2;Rue de la Gare;44,4527760; -0,9410480
1767;202000001957;3;2;2020;13:05;1;54;54395;2;3;2;2;MAZAGRAN (RUE);48,6905992;6,1755026
1768;202000001958;17;10;2020;09:30;1;94;94043;2;1;8;2;FONTAINEBLEAU (AV DE);48,8149000;2,3609000
1769;202000001959;31;1;2020;22:30;3;54;54382;2;2;1;3;PINS (AVENUE DES);49,5365900;5,7645300
1770;202000001962;25;8;2020;12:20;1;80;80383;1;1;1;7;autoroute A1 PK103+800;49,7264700;2,7802810
1771;202000001963;24;8;2020;17:10;1;13;13210;1;1;1;2;A50-Sens Marseille vers Aubagne;43,2845200;5,4067000
1772;202000001964;3;2;2020;18:20;5;51;51172;2;1;2;1;Rue de Picardie;49,2238849;4,0411897
1773;202000001965;17;10;2020;19:41;2;94;94022;2;2;1;3;REPUBLIQUE (AV DE LA);48,7576100;2,4100600
1774;202000001966;24;8;2020;18:30;1;13;13106;1;1;1;5;A51-Sens Aix en Provence vers Marseille;43,4065986;5,3617090
1775;202000001967;17;10;2020;17:50;1;94;94022;2;1;8;6;VICTOR HUGO (AV);48,7681500;2,4181550
1776;202000001968;2;2;2020;03:52;3;49;49007;2;1;2;7;ESTIENNE D'ORVES BOULEVARD;47,4598800; -0,5203400
1777;202000001969;17;10;2020;21:45;4;94;94081;2;1;1;1;167 R GABRIEL PERI;48,7920952;2,4016047
1778;202000001970;20;8;2020;18:35;1;13;13005;1;1;1;4;A50-Sens Aubagne vers Marseille;43,2889659;5,5600183
1779;202000001971;3;2;2020;21:40;3;44;44109;2;1;2;3;Quai Malakoff;47,2142600; -1,5407100
1780;202000001972;17;10;2020;20:10;5;93;93064;2;1;1;6;DE GAULLE (AV DU GENERAL) 58/49 - FIN;48,8844900;2,4738600
1781;202000001973;23;8;2020;23:10;3;69;69199;1;1;1;2;A7 ;45,6914800;4,8452900
1782;202000001974;24;8;2020;12:40;1;92;92078;1;1;1;7;AUTOROUTE A86;48,9281100;2,3327900
1783;202000001975;24;8;2020;04:25;3;95;95252;1;1;1;7;A15;48,9803000;2,2263000
1784;202000001976;17;10;2020;10:40;1;93;93074;2;3;1;3;R ALEXANDRE BOUCHER / D933;48,9339000;2,5666600
1785;202000001977;24;8;2020;02:30;3;95;95060;1;1;1;7; A115;49,0351529;2,1963139
1786;202000001978;17;10;2020;10:50;1;93;93031;2;9;1;3;REPUBLIQUE (AVENUE);48,9466600;2,3442400
1787;202000001979;2;2;2020;11:15;1;37;37261;2;3;1;2;WAGNER (BOULEVARD RICHARD);47,3768594;0,7134019
1788;202000001980;17;10;2020;18:15;2;93;93029;2;1;1;6;HENRI BARBUSSE (AVE) N°2-124;48,9189400;2,4495300
1789;202000001982;3;2;2020;08:50;1;37;37261;2;1;2;7;MAGINOT (AV. ANDRE);47,4134312;0,6864742
1790;202000001983;17;10;2020;11:10;1;93;93007;2;4;1;3;HENRI BARBUSSE (AVENUE);48,9431558;2,4658807
1791;202000001984;2;2;2020;18:10;3;37;37233;2;1;2;6;Quai de la Loire;47,3967257;0,7249180
1792;202000001985;23;8;2020;02:25;3;95;95500;1;1;1;2;AUTOROUTE A15;49,0376200;2,0902400
1793;202000001986;17;10;2020;08:40;1;93;93005;2;6;1;3;GEORGES BRAQUE (BOULEVARD);48,9555909;2,4800835
1794;202000001987;17;10;2020;16:05;1;93;93001;2;9;1;-1;GAMBETTA (QUAI);48,9046107;2,3787524
1795;202000001988;3;2;2020;19:50;5;35;35238;2;2;3;3;TILLON (AVENUE CHARLES);48,1244900; -1,7097600
