;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
20208;201700022405;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;0.0;1.0;3.0
20209;201700022406;4;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;50.0;2.0;0.0;1.0;0.0
20210;201700022407;3;712;;;2.0;3.0;24.0;611.0;0.0;2.0;1.0;0.0;85.0;2.0;5.0;1.0;99.0
20211;201700022408;4;;;;1.0;1.0;;;0.0;1.0;1.0;0.0;50.0;2.0;5.0;1.0;99.0
20212;201700022409;3;1;;;2.0;3.0;17.0;900.0;1.0;1.0;1.0;0.0;118.0;1.0;5.0;1.0;3.0
20213;201700022410;2;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;55.0;2.0;3.0;1.0;99.0
20214;201700022411;4;0;;;2.0;2.0;;;0.0;2.0;4.0;0.0;50.0;2.0;0.0;4.0;99.0
20215;201700022412;3;45;;;2.0;2.0;5.0;2280.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20216;201700022413;3;790;;;2.0;2.0;30.0;191.0;0.0;1.0;1.0;0.0;50.0;2.0;0.0;1.0;3.0
20217;201700022414;2;12;;;3.0;4.0;58.0;350.0;0.0;2.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20218;201700022415;3;36;;;2.0;2.0;3.0;1558.0;0.0;1.0;1.0;0.0;50.0;0.0;5.0;1.0;99.0
20219;201700022416;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20220;201700022417;2;12;;;3.0;4.0;62.0;500.0;0.0;1.0;1.0;0.0;70.0;2.0;0.0;1.0;99.0
20221;201700022419;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;3.0
20222;201700022420;4;0;;;2.0;2.0;;;0.0;1.0;0.0;0.0;60.0;1.0;2.0;1.0;99.0
20223;201700022421;4;;;;2.0;3.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20224;201700022422;3;786;;;2.0;3.0;0.0;153.0;0.0;2.0;3.0;0.0;60.0;1.0;0.0;1.0;0.0
20225;201700022423;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;2.0;0.0;50.0;1.0;0.0;3.0;99.0
20226;201700022424;3;700;;;3.0;4.0;47.0;660.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
20227;201700022425;3;27;;;2.0;2.0;11.0;1275.0;0.0;1.0;1.0;0.0;50.0;1.0;5.0;0.0;99.0
20228;201700022426;2;12;;;3.0;4.0;58.0;740.0;0.0;1.0;1.0;0.0;75.0;1.0;0.0;1.0;99.0
20229;201700022427;3;45;;;2.0;2.0;6.0;665.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
20230;201700022428;2;12;;;3.0;4.0;62.0;200.0;0.0;1.0;1.0;0.0;75.0;1.0;0.0;1.0;0.0
20231;201700022429;2;12;;;3.0;4.0;61.0;0.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
20232;201700022430;2;9012;;;1.0;1.0;5.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0
20233;201700022431;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20234;201700022432;3;712;;;2.0;2.0;29.0;200.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
20235;201700022433;2;12;;;3.0;4.0;56.0;0.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20236;201700022434;3;712;;;2.0;2.0;22.0;1920.0;0.0;2.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20237;201700022435;4;;;;2.0;2.0;;;0.0;1.0;0.0;36.0;61.0;1.0;0.0;1.0;3.0
20238;201700022436;4;;;;2.0;3.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20239;201700022437;4;;;;2.0;2.0;;;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
20240;201700022438;3;45;;;2.0;2.0;5.0;2327.0;0.0;1.0;1.0;0.0;73.0;1.0;0.0;1.0;0.0
20241;201700022439;3;45;;;2.0;2.0;5.0;2208.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20242;201700022440;3;712;;;4.0;1.0;29.0;1000.0;0.0;1.0;2.0;0.0;50.0;1.0;5.0;1.0;3.0
20243;201700022441;4;;;;4.0;2.0;;;0.0;1.0;3.0;0.0;50.0;1.0;5.0;1.0;0.0
20244;201700022442;4;;;;2.0;2.0;;;0.0;2.0;1.0;0.0;50.0;1.0;5.0;1.0;99.0
20245;201700022443;4;;;;2.0;2.0;;;0.0;0.0;1.0;0.0;67.0;1.0;5.0;1.0;0.0
20246;201700022444;3;36;;;1.0;1.0;3.0;1560.0;0.0;2.0;3.0;0.0;0.0;1.0;5.0;1.0;0.0
20247;201700022445;3;700;;;3.0;4.0;47.0;661.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20248;201700022446;4;0;;;2.0;2.0;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;3.0;99.0
20249;201700022447;4;0;;;1.0;1.0;;;0.0;2.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
20250;201700022448;2;9012;;;2.0;2.0;2.0;0.0;0.0;1.0;3.0;0.0;50.0;1.0;3.0;1.0;99.0
20251;201700022449;4;;;;2.0;2.0;;;0.0;2.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20252;201700022450;2;9012;;;1.0;1.0;2.0;100.0;0.0;2.0;2.0;0.0;30.0;2.0;3.0;3.0;99.0
20253;201700022451;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
20254;201700022452;3;712;;;2.0;2.0;23.0;1730.0;0.0;1.0;3.0;10.0;30.0;2.0;0.0;1.0;99.0
20255;201700022453;4;;;;2.0;2.0;;;0.0;2.0;2.0;0.0;50.0;1.0;0.0;1.0;3.0
20256;201700022454;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
20257;201700022455;3;700;;;2.0;2.0;48.0;60.0;0.0;1.0;2.0;;;1.0;5.0;0.0;99.0
20258;201700022456;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20259;201700022457;4;;;;2.0;2.0;;;0.0;2.0;1.0;0.0;35.0;1.0;5.0;1.0;99.0
20260;201700022458;2;12;;;3.0;4.0;60.0;1100.0;0.0;1.0;1.0;6.0;50.0;1.0;0.0;3.0;99.0
20261;201700022459;4;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;0.0;9.0;0.0;1.0;99.0
20262;201700022461;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;70.0;0.0;5.0;1.0;99.0
20263;201700022462;3;712;;;2.0;2.0;24.0;320.0;2.0;4.0;1.0;0.0;40.0;1.0;5.0;1.0;99.0
20264;201700022463;4;;;;2.0;2.0;;;0.0;1.0;0.0;0.0;30.0;1.0;5.0;1.0;0.0
20265;201700022464;3;45;;;2.0;2.0;6.0;330.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;99.0
20266;201700022465;4;;;;2.0;2.0;;;0.0;1.0;0.0;0.0;50.0;1.0;0.0;1.0;99.0
20267;201700022466;2;12;;;3.0;4.0;59.0;980.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20268;201700022467;2;12;;;3.0;4.0;61.0;500.0;0.0;1.0;1.0;0.0;0.0;2.0;5.0;1.0;99.0
20269;201700022468;3;712;;;2.0;2.0;23.0;737.0;0.0;1.0;1.0;0.0;50.0;1.0;5.0;1.0;99.0
20270;201700022469;3;27;;;2.0;2.0;12.0;314.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;99.0
20271;201700022470;3;786;;;2.0;2.0;18.0;1490.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20272;201700022471;2;12;;;3.0;4.0;55.0;276.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
20273;201700022472;4;;;;3.0;6.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20274;201700022473;3;700;;;3.0;4.0;49.0;0.0;0.0;1.0;1.0;0.0;60.0;2.0;0.0;1.0;99.0
20275;201700022475;3;790;;;2.0;2.0;28.0;585.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
20276;201700022476;4;;;;1.0;1.0;;;0.0;1.0;1.0;0.0;50.0;1.0;5.0;1.0;99.0
20277;201700022477;4;;;;2.0;2.0;;;0.0;2.0;3.0;300.0;500.0;2.0;5.0;1.0;99.0
20278;201700022478;4;0;;;2.0;2.0;;;0.0;1.0;4.0;0.0;60.0;1.0;0.0;1.0;99.0
20279;201700022479;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20280;201700022480;4;;;;4.0;1.0;;;0.0;1.0;2.0;0.0;75.0;1.0;5.0;1.0;3.0
20281;201700022481;3;45;;;2.0;2.0;6.0;1835.0;0.0;1.0;1.0;0.0;25.0;2.0;0.0;1.0;0.0
20282;201700022482;4;;;;2.0;4.0;;;0.0;2.0;1.0;0.0;0.0;1.0;0.0;4.0;99.0
20283;201700022484;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;0.0;3.0;99.0
20284;201700022486;4;;;;2.0;2.0;;;0.0;1.0;1.0;25.0;60.0;1.0;5.0;1.0;99.0
20285;201700022487;4;;;;2.0;2.0;;;0.0;2.0;1.0;12.0;46.0;1.0;0.0;4.0;0.0
20286;201700022488;4;;;;2.0;2.0;;;0.0;1.0;1.0;15.0;30.0;1.0;0.0;1.0;99.0
20287;201700022489;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;5.0;1.0;99.0
20288;201700022490;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;5.0;1.0;99.0
